Solaranlage01,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal,PrVal
39995.06597200000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.72,49.72,23.42,21.72,23.37,24.8,22.55,23.67,21.8,20.67,24.2,16.02,47.4,51.85,30,33.17,35.56,810,55972,52,48,39,42,56306
39995.06944400000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.64,49.64,23.55,21.6,23.37,24.5,22.5,23.67,21.87,20.77,24.42,16.02,47.32,51.78,30,33.17,35.48,810,55972,52,48,39,42,56306
39995.07291700000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.68,49.64,49.64,23.52,21.47,23.25,24.07,22.4,23.6,21.77,20.72,24.48,15.95,47.14,51.7,30,33.06,35.4,810,55972,52,48,39,42,56306
39995.07638900000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.64,49.64,23.07,21.37,23.05,23.65,22.3,23.5,21.65,20.67,24.33,15.87,47.07,51.6,30,32.99,35.3,810,55972,52,48,39,42,56306
39995.07986100000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.64,49.64,23,21.3,23.15,23.67,22.2,23.45,21.32,20.47,24.06,15.76,46.89,51.52,30,32.91,35.22,810,55972,51,48,39,41,56306
39995.08333300000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.64,49.64,22.8,21.2,22.87,23.2,22.17,23.3,21.3,20.4,23.87,15.68,46.81,51.44,30.02,32.91,35.15,810,55972,51,48,39,41,56306
39995.08680600000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.76,49.64,49.64,22.72,21.12,22.8,23,22.05,23.3,21.42,20.47,23.89,15.68,46.63,51.34,30,32.81,35.04,810,55972,51,48,39,41,56306
39995.09027800000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.76,49.64,49.64,22.7,21.1,22.77,22.9,22.2,23.35,21.3,20.4,23.78,15.66,46.55,51.18,30,32.73,34.96,810,55972,51,47,38,41,56306
39995.09375000000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.64,49.64,22.67,21,22.75,22.5,22.15,23.3,21.2,20.4,23.76,15.66,46.45,51.18,29.97,32.73,34.89,810,55972,51,47,38,41,56306
39995.09722200000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.76,49.54,49.54,22.82,20.95,22.8,22.4,22.2,23.37,21.27,20.42,23.76,15.63,46.29,51.08,30,32.65,34.78,810,55972,51,47,38,41,56306
39995.10069400000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.44,59.76,49.54,49.54,22.6,20.87,22.6,21.75,22.1,23.32,21.35,20.52,23.7,15.68,46.19,51,30,32.65,34.71,810,55972,51,47,38,40,56306
39995.10416700000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.76,49.54,49.54,22.6,20.77,22.5,21.67,22,23.3,21.2,20.5,23.65,15.66,46.04,50.93,30,32.55,34.63,810,55972,51,47,38,40,56306
39995.10763900000,0,1136,2.85,0,0,1055,0,1,987,84.47,83.36,59.83,49.46,49.46,22.6,20.7,22.5,21.6,21.9,23.27,21.25,20.47,23.65,15.63,45.93,50.82,29.97,32.55,34.53,810,55972,51,47,38,40,56306
